Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,101420Z,270,21,,1032
ENOL,101450Z,270,19,,1031
ENOL,101520Z,270,18,,1031
ENOL,101550Z,270,20,,1031
ENOL,101550Z,270,20,,1031
ENOL,101620Z,270,21,,1031
ENOL,101650Z,280,22,,1031
ENOL,101720Z,280,23,,1031
ENOL,101750Z,280,23,,1031
ENOL,101850Z,280,22,,1030
ENOL,101920Z,270,22,,1030
ENOL,101950Z,280,21,,1030
ENOL,102020Z,270,20,,1030
ENOL,102050Z,270,20,,1030
ENOL,102120Z,270,21,,1030
ENOL,102150Z,280,20,,1030
ENOL,102220Z,290,18,,1030
ENOL,102250Z,300,18,,1030
ENOL,102320Z,300,18,,1030
ENOL,102350Z,300,19,,1030
ENOL,110020Z,290,19,,1030
ENOL,110050Z,300,19,,1030
ENOL,110120Z,300,18,,1030
ENOL,110150Z,310,16,,1030
ENOL,110220Z,300,16,,1030
ENOL,110250Z,310,17,,1031
ENOL,110320Z,310,14,,1031
ENOL,110350Z,310,13,,1031
ENOL,110420Z,320,14,,1031
ENOL,110450Z,320,14,,1031
ENOL,110520Z,320,13,,1031
ENOL,110550Z,320,12,,1031
ENOL,110620Z,320,12,,1031
ENOL,110650Z,320,13,,1031
ENOL,110720Z,320,12,,1031
ENOL,110750Z,330,12,,1031
ENOL,110820Z,320,12,,1032
ENOL,110850Z,310,9,,1032
ENOL,110920Z,310,10,,1032
ENOL,110950Z,310,12,,1032
ENOL,111020Z,310,13,,1032
ENOL,111050Z,320,11,,1032
ENOL,111120Z,320,11,,1032
ENOL,111150Z,310,10,,1032
ENOL,111220Z,310,9,,1032
ENOL,111250Z,310,10,,1032
ENOL,111320Z,320,10,,1032
ENOL,111350Z,310,12,,1032
ENOL,111420Z,300,13,,1031
ENOL,111450Z,310,11,,1031
ENOL,111520Z,290,13,,1031
ENOL,111550Z,280,15,,1031
ENOL,111620Z,300,11,,1030
ENOL,111650Z,280,13,,1030
ENOL,111720Z,290,21,,1030
ENOL,111750Z,290,19,,1030
ENOL,111820Z,280,20,,1030
ENOL,111850Z,280,20,,1030
ENOL,111920Z,280,21,,1030
ENOL,111950Z,290,19,,1029
ENOL,112020Z,290,23,,1029
ENOL,112050Z,290,19,,1029
ENOL,112120Z,290,21,34,1029
ENOL,112150Z,270,20,,1029
ENOL,112220Z,270,21,,1027
ENOL,112250Z,270,24,,1027
ENOL,112320Z,270,27,,1026
ENOL,112350Z,270,24,,1026
ENOL,120020Z,280,24,,1026
ENOL,120050Z,290,21,,1026
ENOL,120120Z,280,21,,1026
ENOL,120150Z,290,21,,1026
ENOL,120220Z,290,21,31,1026
ENOL,120250Z,280,18,32,1025
ENOL,120320Z,280,20,,1025
ENOL,120350Z,280,19,,1025
ENOL,120420Z,280,15,,1025
ENOL,120450Z,280,19,,1024
ENOL,120520Z,280,18,,1023
ENOL,120550Z,290,20,30,1023
ENOL,120620Z,280,21,,1023
ENOL,120650Z,290,20,,1022
ENOL,120720Z,290,20,,1022
ENOL,120750Z,290,20,32,1021
ENOL,120820Z,290,22,,1021
ENOL,120850Z,280,22,,1021
ENOL,120920Z,280,22,,1021
ENOL,120950Z,270,24,,1021
ENOL,121020Z,270,23,,1020
ENOL,121020Z,260,20,,1021
ENOL,121050Z,270,23,,1020
ENOL,121120Z,270,22,,1020
ENOL,121150Z,260,21,,1020
ENOL,121220Z,270,19,,1019
ENOL,121250Z,270,18,,1019
ENOL,121320Z,270,19,,1018
ENOL,121350Z,270,19,,1018
ENOL,121420Z,270,16,,1017
ENOL,121450Z,260,17,,1016
ENOL,121520Z,250,17,,1016
ENOL,121550Z,250,13,,1015
ENOL,121620Z,250,15,,1014
ENOL,121650Z,240,15,,1014
ENOL,121720Z,240,22,,1014
ENOL,121750Z,250,23,33,1012
ENOL,121820Z,240,23,,1011
ENOL,121850Z,240,23,,1010
ENOL,121920Z,240,23,,1009
ENOL,121950Z,230,21,,1009
ENOL,122020Z,220,15,,1008
ENOL,122050Z,220,17,,1007
ENOL,122120Z,200,12,,1006
ENOL,122150Z,220,17,,1005
ENOL,122220Z,230,16,,1004
ENOL,122250Z,220,16,,1003
ENOL,122320Z,220,15,,1002
ENOL,122350Z,230,14,,1001
ENOL,130020Z,230,19,,1000
ENOL,130050Z,230,20,,1000
ENOL,130120Z,230,20,,0999
ENOL,130150Z,240,21,,0998
ENOL,130220Z,250,25,,0998
ENOL,130250Z,260,17,,0998
ENOL,130320Z,290,12,,0997
ENOL,130350Z,300,14,,0997
ENOL,130420Z,280,15,,0997
ENOL,130450Z,290,13,,0997
ENOL,130520Z,300,13,,0996
ENOL,130550Z,300,12,,0996
ENOL,130620Z,300,14,,0996
ENOL,130650Z,290,16,,0996
ENOL,130720Z,290,19,,0996
ENOL,130750Z,290,24,,0996
ENOL,130820Z,300,22,,0996
ENOL,130850Z,290,20,,0996
ENOL,130920Z,280,22,,0996
ENOL,130950Z,290,23,,0996
ENOL,131020Z,290,22,,0996
ENOL,131050Z,300,22,,0996
ENOL,131120Z,290,23,,0995
ENOL,131150Z,300,20,,0995
ENOL,131220Z,310,18,,0995
ENOL,131250Z,300,16,,0995
ENOL,131320Z,300,16,,0995
ENOL,131350Z,320,12,,0995
ENOL,131420Z,350,14,,0996
ENOL,131450Z,340,18,,0996
ENOL,131520Z,340,18,,0996
ENOL,131550Z,340,18,,0996
ENOL,131620Z,350,20,,0997
ENOL,131650Z,360,14,,0997
ENOL,131720Z,350,12,,0998
ENOL,131750Z,350,9,,0998
ENOL,131820Z,350,7,,0998
ENOL,131850Z,330,7,,0998
ENOL,131920Z,310,9,,0998
ENOL,131950Z,310,5,,0998
ENOL,132020Z,300,8,,0997
ENOL,132050Z,290,9,,0997
ENOL,132120Z,280,9,,0997
ENOL,132150Z,280,6,,0996
ENOL,132220Z,290,16,,0996
ENOL,132250Z,260,9,,0996
ENOL,132320Z,280,8,,0995
ENOL,132350Z,350,9,,0995
ENOL,140020Z,30,4,,0994
ENOL,140050Z,20,4,,0994
ENOL,140120Z,60,2,,0993
ENOL,140150Z,350,3,,0993
ENOL,140220Z,350,8,,0993
ENOL,140250Z,130,1,,0992
ENOL,140320Z,0,2,,0992
ENOL,140350Z,160,3,,0992
ENOL,140420Z,120,4,,0991
ENOL,140450Z,110,8,,0990
ENOL,140520Z,110,8,,0990
ENOL,140550Z,100,11,,0990
ENOL,140620Z,100,12,,0989
ENOL,140650Z,80,12,,0990
ENOL,140720Z,40,15,,0990
ENOL,140750Z,40,11,,0990
ENOL,140820Z,20,11,,0991
ENOL,140850Z,40,12,,0991
ENOL,140920Z,40,10,,0992
ENOL,140950Z,50,7,,0992
ENOL,141020Z,40,9,,0992
ENOL,141050Z,50,5,,0993
ENOL,141120Z,40,6,,0993
ENOL,141150Z,40,8,,0993
ENOL,141220Z,40,8,,0993
ENOL,141250Z,40,7,,0993
ENOL,141320Z,70,5,,0993
ENOL,141350Z,100,4,,0993
ENOL,141420Z,90,3,,0993
ENOL,141450Z,110,3,,0993
ENOL,141520Z,160,1,,0992
ENOL,141550Z,170,2,,0992
ENOL,141620Z,180,4,,0992
ENOL,141650Z,130,4,,0991
ENOL,141720Z,0,1,,0991
ENOL,141750Z,0,1,,0991
ENOL,141820Z,70,17,,0992
ENOL,141850Z,80,17,,0992
ENOL,141920Z,110,10,,0992
ENOL,141950Z,50,4,,0992
ENOL,142020Z,50,5,,0993
ENOL,142050Z,110,3,,0993
ENOL,142120Z,100,3,,0992
ENOL,142150Z,150,3,,0992
ENOL,142220Z,80,4,,0992
ENOL,142250Z,70,5,,0992
ENOL,142320Z,90,5,,0992
ENOL,142350Z,90,5,,0992
ENOL,150020Z,110,3,,0993
ENOL,150050Z,0,2,,0993
ENOL,150120Z,110,3,,0993
ENOL,150150Z,110,3,,0993
ENOL,150220Z,110,3,,0993
ENOL,150250Z,110,4,,0993
ENOL,150320Z,100,5,,0993
ENOL,150350Z,110,4,,0993
ENOL,150420Z,100,5,,0993
ENOL,150450Z,100,4,,0993
ENOL,150520Z,100,6,,0993
ENOL,150550Z,90,7,,0993
ENOL,150620Z,70,5,,0993
ENOL,150650Z,70,6,,0994
ENOL,150720Z,90,7,,0994
ENOL,150750Z,100,7,,0994
ENOL,150820Z,90,7,,0994
ENOL,150850Z,90,6,,0995
ENOL,150920Z,90,5,,0995
ENOL,150950Z,70,5,,0995
ENOL,151020Z,70,8,,0995
ENOL,151050Z,70,7,,0995
ENOL,151120Z,70,6,,0995
ENOL,151150Z,70,7,,0996
ENOL,151220Z,60,6,,0996
ENOL,151250Z,60,8,,0996
ENOL,151320Z,60,8,,0996
ENOL,151350Z,70,7,,0996
ENOL,151420Z,70,8,,0996
ENOL,151450Z,70,7,,0997
ENOL,151520Z,70,4,,0997
